"","SYMBOL","GENEID"
"1","HBB","ENSG00000244734"
"2","PPP1R9A","ENSG00000158528"
"3","SH3BGRL2","ENSG00000198478"
"4","LPL","ENSG00000175445"
"5","CNTNAP2","ENSG00000174469"
"6","HBA2","ENSG00000188536"
"7","SEPT10","ENSG00000186522"
"8","ZNF471","ENSG00000196263"
"9","ZNF667","ENSG00000198046"
"10","RBMS3","ENSG00000144642"
"11","NLRP2","ENSG00000022556"
"12","L1TD1","ENSG00000240563"
"13","TFEC","ENSG00000105967"
"14","BTNL9","ENSG00000165810"
"15","GSTM1","ENSG00000134184"
"16","MS4A4E","ENSG00000214787"
"17","MYO3A","ENSG00000095777"
"18","SOWAHC","ENSG00000198142"
"19","PCDH9","ENSG00000184226"
"20","ADAM29","ENSG00000168594"
"21","GRIK3","ENSG00000163873"
"22","PTPRB","ENSG00000127329"
"23","STK32B","ENSG00000152953"
"24","RAPGEF5","ENSG00000136237"
"25","RASSF6","ENSG00000169435"
"26","COL18A1","ENSG00000182871"
"27","PROX1","ENSG00000117707"
"28","ZNF711","ENSG00000147180"
"29","L3MBTL4","ENSG00000154655"
"30","PTK2","ENSG00000169398"
"31","PTPRK","ENSG00000152894"
"32","RGPD2","ENSG00000185304"
"33","LCN8","ENSG00000204001"
"34","IGLL5","ENSG00000254709"
"35","SLC44A5","ENSG00000137968"
"36","HTRA3","ENSG00000170801"
"37","HSPA6","ENSG00000173110"
"38","EVC2","ENSG00000173040"
"39","LILRA4","ENSG00000239961"
"40","TSHZ2","ENSG00000182463"
"41","CTTNBP2","ENSG00000077063"
"42","NRCAM","ENSG00000091129"
"43","LDOC1","ENSG00000182195"
"44","SAMD12","ENSG00000177570"
"45","GNAO1","ENSG00000087258"
"46","EVC","ENSG00000072840"
"47","LIMCH1","ENSG00000064042"
"48","ZNF608","ENSG00000168916"
"49","IGF2BP3","ENSG00000136231"
"50","IFI44L","ENSG00000137959"
"51","SGSM1","ENSG00000167037"
"52","IGJ","ENSG00000132465"
"53","IGF1R","ENSG00000140443"
"54","KIAA1324L","ENSG00000164659"
"55","KCNQ1","ENSG00000053918"
"56","PNMA2","ENSG00000240694"
"57","MYF6","ENSG00000111046"
"58","ZNF804A","ENSG00000170396"
"59","CSMD1","ENSG00000183117"
"60","EBF1","ENSG00000164330"
"61","ZNF208","ENSG00000160321"
"62","NPTX1","ENSG00000171246"
"63","CLEC4C","ENSG00000198178"
"64","NPIPB15","ENSG00000196436"
"65","GABRB2","ENSG00000145864"
"66","PSD3","ENSG00000156011"
"67","WWC1","ENSG00000113645"
"68","ZFP57","ENSG00000204644"
"69","ARRDC4","ENSG00000140450"
"70","SPG20","ENSG00000133104"
"71","KANK2","ENSG00000197256"
"72","CNTLN","ENSG00000044459"
"73","ITGB5","ENSG00000082781"
"74","CCDC144A","ENSG00000170160"
